,CNN-test,CNN-val,LSTM-test,LSTM-val
avg_duration,-0.0008771929824561431,-0.013186813186813251,0.02017543859649129,0.004395604395604313
avg_pitch,-0.012280701754385937,-0.0032967032967033292,0.006140350877193024,0.030769230769230705
avg_polyphony,0.0008771929824561431,-0.010989010989011061,0.01754385964912286,-0.0043956043956044685
avg_velocity,0.0035087719298245723,-0.014285714285714346,0.01403508771929829,0.024175824175824156
chord_density,0.004385964912280715,-0.01758241758241763,-0.0035087719298245055,0.016483516483516446
chromatic_ratio,0.00877192982456143,-0.009890109890109921,0.0026315789473684514,0.01318681318681314
drum_track_count,0.0,0.0,2.2204460492503132e-17,0.0
duration_median,-0.0017543859649122862,-0.015384615384615464,6.661338147750939e-17,0.02417582417582411
duration_std,0.0,-4.4408920985006264e-17,0.0052631578947368585,0.007692307692307665
gm_bass_track_count,0.0052631578947368585,0.0,0.0026315789473684292,0.0
gm_brass_track_count,0.007894736842105288,0.00439560439560438,0.01140350877192986,0.014285714285714235
gm_chromatic_percussion_track_count,0.0026315789473684292,0.0,-0.003508771929824528,0.00439560439560438
gm_ensemble_track_count,0.0026315789473684292,-0.006593406593406637,0.010526315789473717,0.0010989010989010505
gm_guitar_track_count,0.004385964912280715,0.00659340659340657,0.0008771929824561431,0.001098901098901095
gm_organ_track_count,0.009649122807017574,-2.2204460492503132e-17,-0.0017543859649122417,0.001098901098901095
gm_piano_track_count,0.01403508771929829,0.02747252747252742,0.013157894736842146,0.005494505494505475
gm_pipe_track_count,0.007894736842105288,0.002197802197802168,0.0061403508771930015,0.003296703296703263
gm_reed_track_count,0.0052631578947368585,0.003296703296703263,-0.008771929824561342,0.01538461538461533
gm_strings_track_count,0.007017543859649145,0.05274725274725269,0.0026315789473684514,0.02417582417582411
gm_synth_effects_track_count,0.0,0.0,0.0,0.0
gm_synth_lead_track_count,0.0008771929824561431,0.0,2.2204460492503132e-17,0.0
gm_synth_pad_track_count,0.0017543859649122862,0.00219780219780219,0.0052631578947368585,0.00219780219780219
has_drums,0.0026315789473684292,0.0,0.0,0.0
max_polyphony,-0.011403508771929794,0.003296703296703285,0.01754385964912286,-0.0010989010989011171
note_density,-0.0008771929824561209,-0.007692307692307732,0.038596491228070205,0.0219780219780219
notes_per_chord,0.0061403508771930015,-2.2204460492503132e-17,-0.012280701754385892,0.01538461538461533
num_chords,-0.021929824561403466,-0.0021978021978022568,-0.008771929824561342,-0.0032967032967033292
num_midi_tracks,0.010526315789473717,-0.004395604395604447,-0.006140350877192935,0.009890109890109855
num_note_tracks,-0.008771929824561386,-0.01758241758241763,0.006140350877193024,0.006593406593406547
num_notes,-0.007017543859649122,0.003296703296703263,0.04649122807017547,0.08241758241758235
num_unique_programs,0.0,-0.0021978021978022342,0.012280701754386003,0.023076923076923016
onset_interval_mean,0.0,-4.4408920985006264e-17,-0.02017543859649116,0.0010989010989010505
onset_interval_std,0.007017543859649145,0.0054945054945054524,0.00789473684210531,0.00439560439560438
pitch_class_0,-0.011403508771929794,-0.012087912087912133,0.007894736842105333,0.020879120879120826
pitch_class_1,0.0061403508771930015,-4.4408920985006264e-17,-0.009649122807017508,0.00439560439560438
pitch_class_10,0.0,-0.0021978021978022342,0.0228070175438597,-0.0065934065934066585
pitch_class_11,-0.007894736842105243,0.0010989010989010505,0.004385964912280738,0.028571428571428515
pitch_class_2,-0.004385964912280693,-0.0010989010989011616,0.023684210526315818,0.034065934065934014
pitch_class_3,0.00877192982456143,-0.0010989010989011394,0.028070175438596558,0.012087912087912045
pitch_class_4,0.01842105263157896,0.001098901098901095,0.011403508771929883,0.0263736263736263
pitch_class_5,-0.00350877192982455,0.007692307692307642,0.03421052631578951,0.002197802197802168
pitch_class_6,0.019298245614035127,-4.4408920985006264e-17,0.021052631578947434,0.007692307692307665
pitch_class_7,0.010526315789473717,-0.017582417582417652,0.005263157894736903,0.012087912087912022
pitch_class_8,-0.002631578947368407,-0.009890109890109943,0.007017543859649167,0.01318681318681314
pitch_class_9,-0.007017543859649122,-0.012087912087912156,0.0035087719298245944,-0.008791208791208848
pitch_class_variance,0.04035087719298249,-0.0032967032967033292,0.021052631578947434,0.02197802197802192
pitch_entropy,-0.003508771929824528,-0.0043956043956044685,0.0017543859649123306,0.02527472527472525
pitch_median,-0.0070175438596491,-0.004395604395604447,4.4408920985006264e-17,-0.0032967032967033518
pitch_range,-0.0017543859649122862,0.015384615384615353,0.08684210526315791,0.08791208791208786
pitch_std,-0.006140350877192979,-0.004395604395604447,0.02017543859649129,0.007692307692307642
range_normalized,0.032456140350877224,0.024175824175824135,0.0491228070175439,0.034065934065934014
tempo,-0.006140350877192979,-0.0076923076923077535,-0.004385964912280627,0.0032967032967032408
tempo_note_ratio,-0.0140350877192982,0.005494505494505475,0.00877192982456143,0.0010989010989010729
total_duration,-0.010526315789473672,-4.4408920985006264e-17,0.02631578947368427,0.034065934065934014
velocity_range,0.022807017543859675,-0.0010989010989011394,0.0289473684210527,0.009890109890109832
velocity_std,0.009649122807017551,0.016483516483516446,0.029824561403508844,0.01758241758241754
velocity_variation,-0.008771929824561408,-0.020879120879120916,0.005263157894736881,-0.006593406593406614
