,CNN-test,CNN-val,LSTM-test,LSTM-val
avg_duration,0.004142011834319548,-2.2204460492503132e-17,0.00118343195266275,0.0017094017094016589
avg_pitch,0.008875739644970437,0.007977207977207978,-0.008875739644970349,0.002849002849002802
avg_polyphony,0.006508875739645004,0.0074074074074073955,-0.0017751479289940253,0.008547008547008472
avg_velocity,0.030769230769230816,0.025071225071225056,0.01834319526627224,0.01880341880341878
chord_density,0.016568047337278145,0.00512820512820511,-0.009467455621301735,-0.005128205128205177
chromatic_ratio,0.016568047337278125,0.0034188034188034067,-0.0017751479289940253,-0.009686609686609726
drum_track_count,0.004142011834319548,-2.2204460492503132e-17,0.001183431952662728,-2.2204460492503132e-17
duration_median,0.019526627218934924,0.003988603988603967,0.0017751479289941142,0.003988603988603945
duration_std,0.009467455621301824,0.001139601139601143,-0.002958579881656753,0.0017094017094016812
gm_bass_track_count,0.004142011834319548,0.0005698005698005603,0.0017751479289940919,0.0005698005698005603
gm_brass_track_count,0.020710059171597673,0.0034188034188033845,0.012426035502958621,0.0034188034188033624
gm_chromatic_percussion_track_count,0.004733727810650912,0.0011396011396011207,0.004733727810650912,0.0011396011396011207
gm_ensemble_track_count,0.011242603550295915,0.011396011396011384,0.024852071005917197,0.017094017094017054
gm_guitar_track_count,0.000591715976331364,0.0074074074074073955,0.000591715976331364,0.009686609686609638
gm_organ_track_count,0.010059171597633166,0.011396011396011384,0.008284023668639095,0.004558404558404483
gm_percussive_track_count,0.0,0.0,0.0,0.0
gm_piano_track_count,0.027810650887573996,0.027350427350427343,0.015976331360946804,0.007407407407407374
gm_pipe_track_count,0.011242603550295915,0.0034188034188034067,0.01183431952662728,-0.0017094017094017478
gm_reed_track_count,0.012426035502958621,0.0011396011396011207,0.006508875739645004,0.0034188034188033845
gm_strings_track_count,0.013017751479289985,0.012535612535612528,0.023076923076923106,0.015384615384615353
gm_synth_effects_track_count,0.0,0.0,0.0,0.0
gm_synth_lead_track_count,0.0017751479289940919,0.0,0.000591715976331364,0.0
gm_synth_pad_track_count,0.0,0.0,0.0,0.0
has_drums,0.0017751479289940919,0.0011396011396011207,0.00295857988165682,0.0011396011396011207
max_polyphony,0.025443786982248563,0.00854700854700854,0.01360946745562135,0.007407407407407374
note_density,0.00295857988165682,0.0056980056980056705,0.0005917159763314083,0.0028490028490027798
notes_per_chord,0.007692307692307732,-0.003418803418803451,0.002366863905325456,-0.003418803418803451
num_chords,0.001183431952662728,0.00968660968660966,-0.0011834319526626835,0.006267806267806186
num_midi_tracks,0.010059171597633166,0.0039886039886040114,0.005325443786982298,0.008547008547008494
num_note_tracks,0.015384615384615441,0.002849002849002824,0.006508875739645026,0.0051282051282050874
num_notes,-0.0017751479289940697,0.003988603988603967,0.00118343195266275,0.003988603988603945
num_unique_programs,0.01065088757396453,0.002279202279202264,0.0017751479289941142,0.0005698005698005382
onset_interval_mean,0.020118343195266307,0.002279202279202264,0.012426035502958621,0.014245014245014186
onset_interval_std,0.023076923076923106,0.030199430199430166,0.004733727810650934,0.015954415954415935
pitch_class_0,0.008875739644970437,-0.002279202279202286,0.0011834319526627724,0.0011396011396011207
pitch_class_1,0.000591715976331364,0.006267806267806275,4.4408920985006264e-17,0.0011396011396010985
pitch_class_10,0.01065088757396455,0.00512820512820511,0.004142011834319548,-0.005698005698005759
pitch_class_11,0.018934911242603557,0.0034188034188034067,0.002366863905325478,0.004558404558404528
pitch_class_2,0.01360946745562135,-0.002279202279202308,-0.003550295857988095,-0.002279202279202308
pitch_class_3,-0.001183431952662728,0.0034188034188033845,4.4408920985006264e-17,-0.006267806267806297
pitch_class_4,0.00887573964497046,0.0017094017094017033,0.006508875739645004,0.007407407407407351
pitch_class_5,0.010059171597633166,0.0051282051282051325,-0.005917159763313551,0.0017094017094016812
pitch_class_6,0.012426035502958621,0.0034188034188033845,0.005325443786982275,0.003988603988603945
pitch_class_7,0.002366863905325478,0.002279202279202264,-0.002366863905325389,0.0022792022792022413
pitch_class_8,0.00295857988165682,0.003988603988603967,4.4408920985006264e-17,-0.0028490028490028908
pitch_class_9,-0.0017751479289940474,-0.0028490028490028908,0.002366863905325478,0.0011396011396010985
pitch_class_variance,0.014201183431952692,0.003988603988603967,0.00887573964497046,0.0017094017094016812
pitch_entropy,0.005325443786982275,0.0011396011396011207,-0.002366863905325389,-4.4408920985006264e-17
pitch_median,0.014201183431952692,-2.2204460492503132e-17,0.005325443786982275,-4.4408920985006264e-17
pitch_range,0.026627218934911268,0.023361823361823353,0.01360946745562135,0.01025641025641022
pitch_std,0.020118343195266286,0.027350427350427343,0.002958579881656864,0.014245014245014209
range_normalized,0.026035502958579926,0.015954415954415935,0.014201183431952712,0.02450142450142445
tempo,0.004733727810650912,0.006267806267806253,0.0017751479289941142,0.007977207977207934
tempo_note_ratio,0.02721893491124263,0.01709401709401708,0.03254437869822491,0.02222222222222219
total_duration,0.008284023668639095,0.005698005698005692,-0.004142011834319481,0.002849002849002802
velocity_range,0.032544378698224886,0.03532763532763532,0.013609467455621327,0.014245014245014209
velocity_std,0.05443786982248526,0.03703703703703702,0.034911242603550365,0.025071225071225035
velocity_variation,0.005325443786982298,0.013675213675213672,-0.0005917159763313195,-0.000569800569800627
