,accuracy,macro_precision,macro_recall,macro_f1
CNN-test (tuned),0.8964497041420119,0.8662427891438469,0.8746174524400331,0.8697601684235718
CNN-test (untuned),0.8994082840236687,0.8779210265742501,0.8828025916735595,0.8797084382210205
CNN-val (tuned),0.8803418803418803,0.8639846521805403,0.8633044946834455,0.8630529196991218
CNN-val (untuned),0.8974358974358975,0.8838793642060502,0.8793928641108185,0.8813409159481773
LSTM-test (tuned),0.878698224852071,0.8575049913114208,0.858646953405018,0.8570280459671907
LSTM-test (untuned),0.834319526627219,0.8060472516090683,0.8022263578715192,0.8020439765132265
LSTM-val (tuned),0.8888888888888888,0.8778166374076513,0.8724011681787143,0.8745321329865308
LSTM-val (untuned),0.8518518518518519,0.8335978559483994,0.8272878865476538,0.8293882926476214
