,Bach,Beethoven,Chopin,Mozart,macro_auc
CNN-test (tuned),0.9948880662788648,0.9750000000000001,0.9847554038680318,0.9625899280575538,0.9793083495511127
CNN-test (untuned),0.99266701921382,0.9754437869822484,0.9869548729616988,0.9638489208633092,0.9797286500052692
CNN-val (tuned),0.9891067538126362,0.9689114391143911,0.9886928104575163,0.9611099432415389,0.9769552366565206
CNN-val (untuned),0.9920116194626,0.970710332103321,0.99078431372549,0.96909817111625,0.9806511091019152
LSTM-test (tuned),0.9922439626300018,0.9704635108481261,0.9710276829730755,0.9678057553956834,0.9753852279617217
LSTM-test (untuned),0.9798343028380044,0.9494082840236686,0.9375805839969662,0.9476019184652278,0.9536062723309668
LSTM-val (tuned),0.9898989898989898,0.9731088560885609,0.9943137254901961,0.970201807862098,0.9818808448349613
LSTM-val (untuned),0.9768601043110848,0.9633302583025832,0.9688235294117646,0.9514925373134328,0.9651266073347164
