model,test_accuracy,macro_precision,macro_recall,macro_f1,epochs_trained,best_epoch,parameters
CNN,0.8859649122807017,0.8103834637303197,0.8146444199075779,0.8085069444444444,30,28,45684
LSTM,0.7192982456140351,0.6039329125759701,0.6571223367275999,0.6249400022784196,40,38,6388
