,CNN-test,CNN-val,LSTM-test,LSTM-val
avg_duration,0.001754385964912264,-0.00439560439560438,0.061403508771929884,0.0769230769230769
avg_pitch,-0.012280701754386003,-0.014285714285714235,-0.007017543859649034,0.03076923076923075
avg_polyphony,0.013157894736842058,-0.005494505494505475,0.0289473684210527,0.0505494505494505
avg_velocity,-0.004385964912280715,-0.009890109890109855,0.018421052631579005,0.031868131868131845
chord_density,0.0,0.002197802197802212,-0.0008771929824561209,0.01978021978021973
chromatic_ratio,0.010526315789473651,-0.00659340659340657,6.661338147750939e-17,0.029670329670329655
drum_track_count,0.0,0.0,2.2204460492503132e-17,0.0
duration_median,0.005263157894736836,-0.005494505494505475,0.0017543859649123527,0.0505494505494505
duration_std,-0.007894736842105288,-0.00219780219780219,0.005263157894736903,0.034065934065934056
gm_bass_track_count,0.005263157894736836,0.0,0.004385964912280715,0.0
gm_brass_track_count,0.005263157894736814,-0.005494505494505475,0.004385964912280738,0.02087912087912087
gm_chromatic_percussion_track_count,0.0008771929824561431,0.0,0.0017543859649122862,-0.005494505494505586
gm_ensemble_track_count,0.008771929824561365,0.009890109890109921,-0.006140350877192935,0.030769230769230726
gm_guitar_track_count,0.004385964912280693,0.008791208791208805,0.0,0.00659340659340657
gm_organ_track_count,0.009649122807017508,-0.001098901098901095,-0.002631578947368385,0.001098901098901095
gm_piano_track_count,0.021929824561403487,0.013186813186813228,-0.007894736842105222,0.031868131868131824
gm_pipe_track_count,0.008771929824561342,2.2204460492503132e-17,0.01666666666666672,0.02197802197802192
gm_reed_track_count,0.005263157894736836,0.006593406593406637,0.010526315789473717,0.014285714285714235
gm_strings_track_count,-0.0035087719298245723,0.040659340659340695,0.024561403508771985,0.0516483516483516
gm_synth_effects_track_count,0.0,0.0,0.0,0.0
gm_synth_lead_track_count,0.0026315789473684292,0.0,0.0008771929824561653,0.0
gm_synth_pad_track_count,0.0026315789473684292,0.003296703296703285,0.0008771929824561875,0.003296703296703285
has_drums,0.0,0.0,0.0008771929824561653,0.0
max_polyphony,-0.0008771929824561653,-0.00439560439560438,0.02631578947368427,0.03846153846153846
note_density,-0.0026315789473684514,-0.007692307692307665,0.007894736842105288,0.03076923076923075
notes_per_chord,0.0,0.007692307692307732,0.006140350877193046,0.045054945054945006
num_chords,-0.010526315789473717,2.2204460492503132e-17,-0.013157894736842035,0.020879120879120826
num_midi_tracks,0.005263157894736792,-0.001098901098901095,-0.029824561403508754,0.020879120879120826
num_note_tracks,-0.0052631578947368585,-0.005494505494505475,0.013157894736842146,0.02527472527472523
num_notes,-0.0035087719298245723,0.002197802197802212,0.014912280701754455,0.00879120879120876
num_unique_programs,-0.0008771929824561653,0.004395604395604424,0.014035087719298312,0.0505494505494505
onset_interval_mean,-0.007017543859649145,-0.001098901098901095,0.00438596491228076,0.03736263736263734
onset_interval_std,-0.0061403508771930015,0.010989010989011016,0.0008771929824561431,0.018681318681318636
pitch_class_0,-0.0035087719298245723,-0.007692307692307665,0.02982456140350882,0.05164835164835162
pitch_class_1,-0.0017543859649122862,-0.003296703296703263,0.006140350877193024,0.045054945054945006
pitch_class_10,0.002631578947368407,-0.00219780219780219,-0.00877192982456132,0.01098901098901095
pitch_class_11,-0.013157894736842146,-0.010989010989010973,-0.011403508771929749,0.028571428571428536
pitch_class_2,-0.004385964912280715,0.008791208791208826,0.004385964912280738,0.036263736263736246
pitch_class_3,-0.0008771929824561653,0.005494505494505519,0.05789473684210531,0.04945054945054943
pitch_class_4,0.006140350877192935,0.003296703296703285,2.2204460492503132e-17,0.031868131868131824
pitch_class_5,0.0008771929824560986,0.014285714285714301,0.005263157894736881,0.023076923076923016
pitch_class_6,-0.0017543859649122862,0.010989010989010995,0.06842105263157898,0.04835164835164831
pitch_class_7,-0.0052631578947368585,-0.012087912087912068,0.0035087719298246165,0.01758241758241754
pitch_class_8,-0.010526315789473717,-0.00219780219780219,-0.015789473684210464,0.015384615384615353
pitch_class_9,-0.00877192982456143,-0.007692307692307665,0.033333333333333395,0.02967032967032963
pitch_class_variance,0.016666666666666607,0.006593406593406637,4.4408920985006264e-17,0.02087912087912085
pitch_entropy,0.006140350877192957,-0.00659340659340657,0.025438596491228104,0.05824175824175819
pitch_median,-0.0035087719298245944,-0.00879120879120876,-0.0008771929824560986,0.019780219780219755
pitch_range,0.010526315789473628,0.005494505494505519,0.0017543859649123306,0.02747252747252744
pitch_std,0.001754385964912264,0.001098901098901095,0.008771929824561453,0.04285714285714284
range_normalized,0.056140350877192956,0.05714285714285716,0.01052631578947374,0.07142857142857137
tempo,0.0008771929824561209,-0.00879120879120876,-0.0201754385964912,0.02087912087912085
tempo_note_ratio,-0.0061403508771930015,-0.012087912087912045,-0.0026315789473683624,0.01978021978021973
total_duration,-0.007017543859649145,0.010989010989011038,0.0026315789473684514,0.05054945054945052
velocity_range,0.002631578947368407,0.004395604395604424,0.004385964912280738,0.058241758241758215
velocity_std,0.007017543859649078,0.016483516483516515,0.03421052631578954,0.0516483516483516
velocity_variation,0.001754385964912264,-0.02307692307692306,-0.016666666666666607,0.02307692307692304
