,accuracy,macro_precision,macro_recall,macro_f1
CNN-test (original),0.8640350877192983,0.7809436274509804,0.7623113728376886,0.7694359756097562
CNN-test (tuned),0.8464912280701754,0.7543285296574771,0.7209918005970637,0.7349430733699802
CNN-val (original),0.8901098901098901,0.8197304856343758,0.8405297351324338,0.8246035769179874
CNN-val (tuned),0.9010989010989011,0.8405067155067155,0.8529235382308846,0.8371543863326696
LSTM-test (original),0.6929824561403509,0.5808734680898606,0.6317875107348792,0.5997867203926958
LSTM-test (tuned),0.7280701754385965,0.5923923679060665,0.5885423056475688,0.586597766041401
LSTM-val (original),0.7637362637362637,0.6601289989680083,0.7167666166916542,0.6834827727617101
LSTM-val (tuned),0.8241758241758241,0.7572400670794633,0.7609695152423788,0.7563116479858463
