,Bach,Beethoven,Chopin,Mozart,macro_auc
CNN-test (original),0.988482106129165,0.955050505050505,0.9471165953160412,0.941695601851852,0.9580862020868908
CNN-test (tuned),0.9891402714932127,0.9409090909090909,0.9687736086628054,0.9256365740740741,0.9561148862847958
CNN-val (original),0.9859831278390656,0.9696472518457752,0.9944111776447108,0.9763353617308992,0.9815942297651128
CNN-val (tuned),0.9941596365996106,0.9753896636587367,0.9964071856287425,0.9837728194726165,0.9874323263399266
LSTM-test (original),0.8780748663101604,0.904040404040404,0.8698060941828255,0.7986111111111112,0.8626331189111253
LSTM-test (tuned),0.9224187577128754,0.8833333333333333,0.9174011583983882,0.8057002314814815,0.8822133702315196
LSTM-val (original),0.9035691109669046,0.9179655455291222,0.958882235528942,0.8539553752535497,0.9085930668196296
LSTM-val (tuned),0.9392602206359506,0.9455838118676512,0.9652694610778443,0.8755916159567275,0.9314262773845434
