,CNN-test,CNN-val,LSTM-test,LSTM-val
avg_duration,0.010059171597633188,0.015384615384615418,4.4408920985006264e-17,0.007977207977207978
avg_pitch,0.005917159763313662,0.008547008547008583,-0.0011834319526626614,0.004558404558404572
avg_polyphony,0.009467455621301824,0.0028490028490028908,-0.0023668639053254113,0.01766381766381766
avg_velocity,0.03017751479289945,0.03817663817663821,0.0065088757396449815,0.011965811965811946
chord_density,-0.0017751479289940474,0.010256410256410308,-0.002366863905325367,-0.003988603988603967
chromatic_ratio,0.01834319526627224,0.01196581196581199,2.2204460492503132e-17,0.0005698005698005603
drum_track_count,0.00295857988165682,-0.0011396011396011207,0.0,0.0005698005698005603
duration_median,0.008284023668639095,0.008547008547008562,-0.0017751479289940474,0.01652421652421652
duration_std,0.004142011834319592,0.0028490028490028687,0.0035502958579881837,0.010826210826210825
gm_bass_track_count,0.0035502958579881837,0.0005698005698005826,0.00295857988165682,0.0005698005698005603
gm_brass_track_count,0.012426035502958621,0.00170940170940177,0.014201183431952735,0.001139601139601143
gm_chromatic_percussion_track_count,0.004733727810650912,0.0011396011396011651,0.004733727810650912,0.0005698005698005603
gm_ensemble_track_count,0.018934911242603603,0.0011396011396011874,0.017751479289940874,0.006267806267806275
gm_guitar_track_count,0.000591715976331364,0.005128205128205177,0.000591715976331364,0.007407407407407418
gm_organ_track_count,0.011242603550295915,0.007407407407407462,0.004142011834319548,0.0034188034188033845
gm_percussive_track_count,0.0,0.0,0.0,0.0
gm_piano_track_count,0.022485207100591764,0.02792022792022797,0.012426035502958621,-0.0017094017094017254
gm_pipe_track_count,0.008284023668639095,0.005128205128205177,0.004733727810650912,0.0005698005698005603
gm_reed_track_count,0.007692307692307732,0.005698005698005715,0.002366863905325478,0.002279202279202264
gm_strings_track_count,0.027810650887574017,0.01595441595441598,0.02840236686390536,0.023931623931623913
gm_synth_effects_track_count,0.0,0.0,0.0,0.0
gm_synth_lead_track_count,0.0,0.0,0.000591715976331364,0.0
gm_synth_pad_track_count,0.0,0.0,0.0,0.0
has_drums,0.001183431952662728,0.0005698005698005826,0.00295857988165682,0.0005698005698005603
max_polyphony,0.024260355029585835,0.008547008547008583,0.020118343195266307,0.002279202279202286
note_density,0.011242603550295915,0.011396011396011407,-0.0005917159763313195,-0.007407407407407418
notes_per_chord,0.0071005917159763675,0.0005698005698006048,0.0017751479289941142,0.002849002849002824
num_chords,0.012426035502958644,0.010256410256410308,0.004142011834319548,0.002849002849002846
num_midi_tracks,0.010059171597633166,0.014245014245014277,0.010059171597633188,0.0028490028490028687
num_note_tracks,0.010059171597633188,-0.0011396011396011207,0.0035502958579881837,0.002279202279202286
num_notes,0.016568047337278145,0.011965811965812012,0.003550295857988206,-0.0011396011396011651
num_unique_programs,0.0035502958579881837,0.0017094017094017254,0.004733727810650912,0.009116809116809121
onset_interval_mean,0.006508875739645004,0.02051282051282055,0.021893491124260422,0.00854700854700854
onset_interval_std,0.01065088757396455,0.02905982905982909,0.008875739644970482,0.015954415954415956
pitch_class_0,0.008284023668639095,-0.0022792022792022413,0.0071005917159763675,0.005698005698005692
pitch_class_1,0.00887573964497046,0.005698005698005737,-0.0005917159763312973,-0.0017094017094017033
pitch_class_10,0.0017751479289941142,0.014814814814814814,0.00414201183431957,0.0017094017094017254
pitch_class_11,0.0218934911242604,0.009116809116809144,-0.003550295857988095,0.009116809116809099
pitch_class_2,0.01183431952662728,-0.0045584045584045494,0.012426035502958621,0.00512820512820511
pitch_class_3,0.006508875739645026,0.009116809116809144,0.00295857988165682,0.002849002849002846
pitch_class_4,0.01065088757396453,0.01139601139601143,-0.002958579881656753,-0.001139601139601143
pitch_class_5,0.01065088757396455,0.010826210826210847,0.004733727810650912,-0.002279202279202264
pitch_class_6,0.006508875739645004,0.014814814814814859,0.00591715976331364,0.014245014245014254
pitch_class_7,0.012426035502958644,0.006837606837606902,0.0005917159763313862,0.0034188034188034067
pitch_class_8,0.010059171597633188,0.0005698005698005826,0.003550295857988206,0.00854700854700854
pitch_class_9,0.015976331360946804,0.002279202279202308,0.002366863905325456,-0.00512820512820511
pitch_class_variance,0.014792899408284077,0.010256410256410286,0.010059171597633188,0.014245014245014254
pitch_entropy,0.009467455621301824,0.013675213675213693,0.010059171597633188,0.010256410256410265
pitch_median,0.00295857988165682,-0.0034188034188033845,0.005325443786982275,0.005698005698005715
pitch_range,0.017751479289940874,0.01652421652421654,0.012426035502958644,0.002849002849002846
pitch_std,0.01065088757396455,0.02051282051282053,0.0005917159763314083,0.002849002849002846
range_normalized,0.037869822485207136,0.038746438746438794,0.008284023668639095,0.010256410256410265
tempo,0.002958579881656842,0.01253561253561255,0.00295857988165682,0.006267806267806275
tempo_note_ratio,0.035502958579881685,0.030199430199430232,0.012426035502958644,0.019943019943019967
total_duration,0.0017751479289941363,4.4408920985006264e-17,0.003550295857988206,0.0011396011396011207
velocity_range,0.028994082840236725,0.03589743589743592,0.024852071005917197,0.022222222222222233
velocity_std,0.031952662721893545,0.02450142450142454,0.03136094674556218,0.02051282051282053
velocity_variation,0.018934911242603603,0.019373219373219407,-0.002958579881656731,0.002279202279202286
